Transaction_ID,Date,Time,Amount,Merchant,Cardholder_Name,Card_Number,Fraud_Label,Transaction_Type,Device_Used,IP_Address,Location
268654,2023-07-06,13:33:00,4820.48,Big Bazaar,Amit Singh,4766717403713468,0,ATM Withdrawal,Mobile,192.168.178.157,Bangalore
254377,2023-06-26,15:36:00,4820.21,Flipkart,Amit Singh,4688974690282054,0,Online,ATM,192.168.162.114,Delhi
276010,2023-07-11,16:09:00,1454.67,Flipkart,Neha Gupta,4063031135344538,0,International,Laptop,192.168.142.35,Chennai
62538,2023-02-13,10:17:00,4931.8,Uber,Neha Gupta,4458045286234568,0,POS,Desktop,192.168.202.218,Delhi
174512,2023-05-02,04:31:00,4884.27,Swiggy,Priya Sharma,4392874361814631,0,International,ATM,192.168.75.216,Chennai
186140,2023-05-10,08:42:00,24048.60169732184,Flipkart,Neha Gupta,4261620053432755,1,Online,Laptop,192.168.9.54,Foreign IP
14567,2023-01-11,02:46:00,4925.32,Myntra,Priya Sharma,4210911460113607,0,POS,ATM,192.168.56.248,Mumbai
72959,2023-02-20,12:57:00,42465.50995447488,Amazon,Priya Sharma,4592616830514643,1,Online,Mobile,192.168.4.69,Unknown
257666,2023-06-28,15:30:00,47995.70461602615,Myntra,Vikas Verma,4093561863187564,1,Online,Mobile,192.168.75.156,Unknown
103048,2023-03-13,13:27:00,2606.84,Flipkart,Amit Singh,4514017529552593,0,International,Mobile,192.168.34.21,Delhi
169763,2023-04-28,21:22:00,3240.64,Big Bazaar,Amit Singh,4419259038054809,0,International,Mobile,192.168.57.55,Delhi
24850,2023-01-18,06:09:00,1413.48,Big Bazaar,Vikas Verma,4119695944749385,0,Online,Mobile,192.168.144.163,Mumbai
121090,2023-03-26,02:09:00,44.54,Big Bazaar,Amit Singh,4161580271220712,0,International,Mobile,192.168.10.212,Hyderabad
55725,2023-02-08,16:44:00,4298.34,Myntra,Rajesh Kumar,4931372955858611,0,International,ATM,192.168.184.28,Kolkata
112430,2023-03-20,01:49:00,387.75,Uber,Priya Sharma,4624375170627383,0,International,Mobile,192.168.132.75,Hyderabad
187319,2023-05-11,01:58:00,711.12,Swiggy,Vikas Verma,4562857634567669,0,POS,Desktop,192.168.226.97,Chennai
262428,2023-07-02,05:47:00,2252.03,Uber,Amit Singh,4823647953018762,0,POS,Laptop,192.168.182.190,Mumbai
224981,2023-06-06,05:40:00,3649.8,Uber,Neha Gupta,4928597439319801,0,POS,ATM,192.168.161.251,Mumbai
131170,2023-04-02,02:09:00,4972.2,Big Bazaar,Neha Gupta,4300375899152967,0,POS,ATM,192.168.134.183,Kolkata
