Transaction_ID,Date,Time,Amount,Merchant,Cardholder_Name,Card_Number,Fraud_Label,Transaction_Type,Device_Used,IP_Address,Location
192203,2023-05-14,11:22:00,3136.77,Flipkart,Neha Gupta,4846201142789815,0,Online,Mobile,192.168.221.175,Delhi
74923,2023-02-22,00:42:00,976.65,Flipkart,Neha Gupta,4890629343075823,0,International,Laptop,192.168.85.226,Kolkata
254221,2023-06-26,13:00:00,2051.54,Uber,Amit Singh,4379218991757905,0,ATM Withdrawal,Desktop,192.168.215.121,Bangalore
76172,2023-02-22,21:31:00,1109.6,Flipkart,Amit Singh,4884136412049791,0,Online,ATM,192.168.151.186,Chennai
242219,2023-06-18,04:58:00,2764.37,Swiggy,Neha Gupta,4107794230412851,0,Online,Desktop,192.168.209.253,Hyderabad
134414,2023-04-04,06:19:00,39414.907429282,Uber,Priya Sharma,4710837959362322,1,International,Mobile,192.168.249.216,Unknown
238882,2023-06-15,21:21:00,4039.4,Flipkart,Amit Singh,4426621690833492,0,ATM Withdrawal,Desktop,192.168.193.124,Chennai
250040,2023-06-23,22:13:00,44367.57245292085,Uber,Priya Sharma,4479310840903788,1,Online,Mobile,192.168.217.9,Unknown
233781,2023-06-12,15:34:00,29998.38296419885,Big Bazaar,Vikas Verma,4070638755263704,1,International,Mobile,192.168.176.241,Unknown
60624,2023-02-12,02:23:00,1017.11,Uber,Amit Singh,4419174395323219,0,ATM Withdrawal,Laptop,192.168.232.69,Bangalore
193959,2023-05-15,16:38:00,1632.7,Swiggy,Amit Singh,4023582686535564,0,POS,Desktop,192.168.34.163,Mumbai
113466,2023-03-20,19:05:00,4293.34,Uber,Neha Gupta,4843052575249289,0,International,Laptop,192.168.110.13,Delhi
37537,2023-01-27,01:36:00,3021.52,Myntra,Neha Gupta,4492585203123744,0,Online,Desktop,192.168.13.82,Mumbai
100346,2023-03-11,16:25:00,4396.42,Myntra,Priya Sharma,4381667909475513,0,ATM Withdrawal,Mobile,192.168.131.34,Delhi
121503,2023-03-26,09:02:00,683.51,Swiggy,Vikas Verma,4464425596634003,0,Online,ATM,192.168.185.212,Bangalore
175678,2023-05-02,23:57:00,1413.0,Big Bazaar,Amit Singh,4908445879389112,0,International,Mobile,192.168.206.123,Kolkata
207914,2023-05-25,09:13:00,2122.36,Amazon,Vikas Verma,4060625112392734,0,International,Mobile,192.168.220.61,Bangalore
164965,2023-04-25,13:24:00,2689.55,Big Bazaar,Vikas Verma,4907699023505317,0,Online,Desktop,192.168.213.108,Kolkata
224252,2023-06-05,17:31:00,4956.21,Amazon,Vikas Verma,4831856585084018,0,Online,Laptop,192.168.69.191,Bangalore
229048,2023-06-09,01:27:00,1801.61,Myntra,Neha Gupta,4969239022851253,0,Online,Desktop,192.168.98.36,Chennai
42364,2023-01-30,10:03:00,4650.9,Amazon,Neha Gupta,4323527192792530,0,POS,Mobile,192.168.76.28,Bangalore
24901,2023-01-18,07:00:00,3993.19,Swiggy,Amit Singh,4763702806890901,0,Online,Mobile,192.168.8.154,Chennai
28958,2023-01-21,02:37:00,1534.63,Flipkart,Neha Gupta,4799975386190835,0,International,Mobile,192.168.218.110,Bangalore
93545,2023-03-06,23:04:00,770.33,Myntra,Rajesh Kumar,4960524951811340,0,ATM Withdrawal,Mobile,192.168.177.164,Kolkata
59147,2023-02-11,01:46:00,3042.41,Swiggy,Rajesh Kumar,4627399788301042,0,International,Desktop,192.168.190.51,Hyderabad
158970,2023-04-21,16:57:00,34143.80820856121,Big Bazaar,Rajesh Kumar,4467020238184562,1,Online,Mobile,192.168.121.78,Foreign IP
158772,2023-04-21,06:11:00,1434.17,Big Bazaar,Priya Sharma,4544725064329879,0,International,ATM,192.168.125.92,Delhi
112125,2023-03-19,20:44:00,526.79,Uber,Vikas Verma,4201001466454805,0,Online,Mobile,192.168.34.42,Delhi
252084,2023-06-25,01:23:00,837.23,Flipkart,Priya Sharma,4515700714710138,0,International,Laptop,192.168.135.71,Mumbai
281508,2023-07-15,11:47:00,2554.74,Flipkart,Vikas Verma,4325672235743206,0,ATM Withdrawal,Mobile,192.168.111.101,Chennai
163060,2023-04-24,05:39:00,2674.62,Swiggy,Priya Sharma,4255220504915360,0,International,Laptop,192.168.130.128,Chennai
192596,2023-05-14,17:55:00,2767.44,Myntra,Neha Gupta,4287290239308749,0,International,Laptop,192.168.86.188,Delhi
137040,2023-04-06,03:59:00,1222.19,Uber,Vikas Verma,4242711510703470,0,ATM Withdrawal,Desktop,192.168.237.166,Hyderabad
181837,2023-05-07,06:36:00,1177.76,Flipkart,Vikas Verma,4062709041406319,0,ATM Withdrawal,ATM,192.168.231.179,Hyderabad
199111,2023-05-19,06:30:00,2280.27,Swiggy,Neha Gupta,4352070929852211,0,International,Desktop,192.168.244.244,Chennai
56473,2023-02-09,05:44:00,38978.72586140691,Flipkart,Amit Singh,4877721387001108,1,International,Mobile,192.168.152.207,Foreign IP
231507,2023-06-10,18:26:00,2204.93,Uber,Amit Singh,4836165623091074,0,Online,Laptop,192.168.104.29,Kolkata
30623,2023-01-22,06:22:00,4420.34,Uber,Rajesh Kumar,4512768269516573,0,International,Laptop,192.168.253.104,Bangalore
120039,2023-03-25,08:38:00,938.12,Flipkart,Priya Sharma,4036103029807297,0,Online,ATM,192.168.117.144,Bangalore
77396,2023-02-23,17:55:00,3971.21,Flipkart,Amit Singh,4348088437578717,0,ATM Withdrawal,ATM,192.168.165.44,Kolkata
140610,2023-04-08,15:29:00,3738.01,Uber,Vikas Verma,4978012719528701,0,Online,Desktop,192.168.202.167,Delhi
204217,2023-05-22,19:36:00,2196.27,Uber,Amit Singh,4029154474032163,0,ATM Withdrawal,Laptop,192.168.89.19,Delhi
126005,2023-03-29,12:04:00,4905.72,Flipkart,Neha Gupta,4403363160277997,0,International,Laptop,192.168.64.84,Hyderabad
38431,2023-01-27,16:30:00,726.7,Flipkart,Vikas Verma,4241421014920192,0,ATM Withdrawal,Desktop,192.168.178.191,Delhi
93458,2023-03-06,21:37:00,1000.04,Swiggy,Vikas Verma,4942710963815224,0,International,Laptop,192.168.17.19,Chennai
211050,2023-05-27,13:29:00,263.1,Amazon,Rajesh Kumar,4710133828599028,0,ATM Withdrawal,Mobile,192.168.197.16,Chennai
51632,2023-02-05,20:31:00,1093.0,Big Bazaar,Neha Gupta,4501206430262776,0,International,Mobile,192.168.204.109,Kolkata
230462,2023-06-10,07:07:00,28306.47745461948,Swiggy,Amit Singh,4147891303844701,1,Online,Mobile,192.168.23.170,Unknown
79606,2023-02-25,14:10:00,20197.75806423584,Flipkart,Neha Gupta,4906871561778250,1,International,Mobile,192.168.87.167,Unknown
196294,2023-05-17,07:33:00,2376.41,Amazon,Vikas Verma,4413922651119093,0,ATM Withdrawal,ATM,192.168.224.4,Kolkata
14520,2023-01-11,01:59:00,2174.3,Myntra,Priya Sharma,4103620978219766,0,POS,Desktop,192.168.89.195,Hyderabad
80767,2023-02-26,02:06:00,1025.15,Myntra,Amit Singh,4336882168469802,0,POS,Mobile,192.168.233.64,Hyderabad
87991,2023-03-03,02:30:00,1419.78,Big Bazaar,Neha Gupta,4551042505221544,0,Online,ATM,192.168.43.24,Kolkata
64028,2023-02-14,11:07:00,3378.63,Amazon,Priya Sharma,4733266150573009,0,ATM Withdrawal,Desktop,192.168.170.116,Hyderabad
67667,2023-02-16,23:46:00,1350.27,Swiggy,Amit Singh,4474977506206922,0,POS,Desktop,192.168.135.17,Kolkata
252782,2023-06-25,13:01:00,3354.47,Swiggy,Amit Singh,4888139466387665,0,Online,Desktop,192.168.139.57,Kolkata
242019,2023-06-18,01:38:00,734.57,Flipkart,Amit Singh,4029676477489196,0,Online,Desktop,192.168.72.217,Chennai
199029,2023-05-19,05:08:00,2698.62,Flipkart,Amit Singh,4605363051941962,0,International,ATM,192.168.93.84,Bangalore
63189,2023-02-13,21:08:00,1687.7,Flipkart,Neha Gupta,4758236239875692,0,Online,Laptop,192.168.87.146,Bangalore
128696,2023-03-31,08:55:00,4501.32,Swiggy,Vikas Verma,4693835068339722,0,POS,Mobile,192.168.59.225,Mumbai
73155,2023-02-20,19:14:00,1022.61,Uber,Neha Gupta,4735015803625309,0,Online,Desktop,192.168.162.8,Kolkata
176367,2023-05-03,11:26:00,1721.77,Amazon,Priya Sharma,4253108705253113,0,ATM Withdrawal,Laptop,192.168.165.165,Kolkata
13984,2023-01-10,17:03:00,1430.64,Flipkart,Amit Singh,4682214584504295,0,ATM Withdrawal,Laptop,192.168.254.203,Bangalore
91147,2023-03-05,07:06:00,1641.34,Flipkart,Neha Gupta,4861966570877466,0,POS,Laptop,192.168.235.87,Kolkata
152968,2023-04-17,05:27:00,2966.93,Flipkart,Neha Gupta,4108501805689522,0,International,Laptop,192.168.1.102,Hyderabad
141771,2023-04-09,10:50:00,1025.83,Big Bazaar,Neha Gupta,4011815257148253,0,ATM Withdrawal,Mobile,192.168.32.9,Chennai
225620,2023-06-06,16:19:00,181.5,Flipkart,Vikas Verma,4397179405522521,0,ATM Withdrawal,ATM,192.168.114.117,Bangalore
219546,2023-06-02,11:05:00,161.55,Myntra,Priya Sharma,4567725589580653,0,Online,Laptop,192.168.217.68,Bangalore
159849,2023-04-22,00:08:00,120.34,Amazon,Amit Singh,4291467608768885,0,POS,Desktop,192.168.233.168,Hyderabad
38919,2023-01-28,08:21:00,46362.23072533795,Uber,Amit Singh,4701236158166885,1,Online,Laptop,192.168.168.21,Unknown
56995,2023-02-09,13:54:00,3851.75,Amazon,Rajesh Kumar,4951797626769994,0,International,Laptop,192.168.214.90,Chennai
245758,2023-06-20,15:57:00,430.58,Amazon,Neha Gupta,4412899568001529,0,ATM Withdrawal,ATM,192.168.122.117,Mumbai
261497,2023-07-01,14:16:00,3979.02,Uber,Neha Gupta,4050679569769504,0,ATM Withdrawal,Laptop,192.168.139.189,Chennai
223735,2023-06-05,11:39:00,31342.820645222688,Swiggy,Amit Singh,4566209815796697,1,Online,Laptop,192.168.219.184,Unknown
6222,2023-01-05,07:41:00,3539.07,Amazon,Neha Gupta,4706395272592667,0,Online,Desktop,192.168.147.176,Mumbai
100883,2023-03-12,01:22:00,1564.61,Swiggy,Vikas Verma,4498672487728369,0,POS,Mobile,192.168.15.127,Bangalore
198872,2023-05-19,02:31:00,4709.62,Flipkart,Neha Gupta,4260159111770684,0,ATM Withdrawal,Mobile,192.168.252.27,Chennai
261793,2023-07-01,19:12:00,4411.12,Big Bazaar,Amit Singh,4910291893681727,0,International,Mobile,192.168.154.56,Delhi
78587,2023-02-24,13:46:00,1343.49,Swiggy,Amit Singh,4817790731479078,0,POS,ATM,192.168.176.150,Bangalore
18310,2023-01-13,17:09:00,1444.03,Myntra,Priya Sharma,4067575368850895,0,Online,ATM,192.168.121.80,Mumbai
106826,2023-03-16,04:25:00,1061.87,Flipkart,Neha Gupta,4439741450680941,0,ATM Withdrawal,Mobile,192.168.125.91,Chennai
113856,2023-03-21,01:35:00,4022.81,Swiggy,Rajesh Kumar,4122383638196267,0,POS,Desktop,192.168.82.249,Mumbai
213543,2023-05-29,07:02:00,4601.79,Flipkart,Amit Singh,4253472380205918,0,Online,Desktop,192.168.88.246,Kolkata
100332,2023-03-11,16:11:00,4478.15,Flipkart,Rajesh Kumar,4131617376241867,0,International,Laptop,192.168.31.111,Delhi
11679,2023-01-09,02:38:00,2675.17,Swiggy,Priya Sharma,4813318378036062,0,Online,Mobile,192.168.105.22,Chennai
28691,2023-01-20,22:10:00,1572.95,Big Bazaar,Priya Sharma,4249188673818107,0,ATM Withdrawal,Laptop,192.168.175.148,Mumbai
13532,2023-01-10,09:31:00,2027.27,Uber,Rajesh Kumar,4063652079492304,0,Online,Mobile,192.168.186.205,Mumbai
199167,2023-05-19,07:26:00,1010.5,Amazon,Amit Singh,4662927194583665,0,POS,Laptop,192.168.108.158,Bangalore
171094,2023-04-29,19:33:00,729.79,Uber,Vikas Verma,4584368120319551,0,International,Mobile,192.168.89.29,Bangalore
225854,2023-06-06,20:13:00,2373.04,Myntra,Amit Singh,4045968205888489,0,Online,Laptop,192.168.25.109,Delhi
3078,2023-01-03,03:17:00,538.47,Big Bazaar,Neha Gupta,4467336723258417,0,Online,Mobile,192.168.134.177,Mumbai
276919,2023-07-12,07:18:00,4194.94,Flipkart,Rajesh Kumar,4271465545645449,0,POS,Desktop,192.168.65.212,Mumbai
79441,2023-02-25,04:00:00,2013.4,Big Bazaar,Amit Singh,4587397760866118,0,ATM Withdrawal,Laptop,192.168.42.106,Delhi
278290,2023-07-13,06:09:00,1150.78,Uber,Vikas Verma,4979141826201120,0,Online,Mobile,192.168.121.113,Hyderabad
83093,2023-02-27,16:52:00,183.07,Amazon,Vikas Verma,4672025325934312,0,ATM Withdrawal,Laptop,192.168.134.254,Delhi
55650,2023-02-08,15:29:00,247.92,Myntra,Rajesh Kumar,4103052068744424,0,ATM Withdrawal,Desktop,192.168.124.95,Hyderabad
223660,2023-06-05,07:39:00,1820.31,Myntra,Rajesh Kumar,4065945445299387,0,International,ATM,192.168.182.88,Kolkata
150545,2023-04-15,13:04:00,4050.68,Big Bazaar,Priya Sharma,4066255777603648,0,Online,Desktop,192.168.184.92,Chennai
98324,2023-03-10,06:43:00,4043.18,Flipkart,Vikas Verma,4077945811986618,0,Online,Mobile,192.168.125.201,Bangalore
21162,2023-01-15,17:00:00,26407.948999263557,Myntra,Amit Singh,4791043874512804,1,International,Mobile,192.168.138.113,Unknown
120322,2023-03-25,13:21:00,1289.33,Amazon,Vikas Verma,4303555203657266,0,International,ATM,192.168.217.253,Mumbai
3321,2023-01-03,07:20:00,2746.61,Amazon,Amit Singh,4254314243070188,0,ATM Withdrawal,Laptop,192.168.240.143,Delhi
164171,2023-04-25,00:10:00,3109.62,Myntra,Neha Gupta,4992772743485816,0,ATM Withdrawal,Desktop,192.168.62.79,Delhi
247004,2023-06-21,22:24:00,31217.09712820517,Big Bazaar,Rajesh Kumar,4065822057987583,1,Online,Laptop,192.168.27.22,Unknown
28908,2023-01-21,01:47:00,4166.99,Uber,Rajesh Kumar,4486492497984656,0,POS,Laptop,192.168.7.229,Kolkata
67105,2023-02-16,14:24:00,2283.66,Flipkart,Vikas Verma,4778289369138149,0,International,Laptop,192.168.161.2,Bangalore
